순번,학원명,연락처,주소,설립·운영자,교습과정,정원,교습기간(일),총교습시간(분),교습비세부내역,,,"적용일
(최종교습비 
변경일)"
,,,,,보습,,,,0,0,0,
,,,,,중등수학A,,,,0,0,0,
40,고려이스쿨수학원,054-283-5553,"경상북도 포항시 남구 연일읍 유강길17번길 22 , 2층 (연일읍)",4,보통교과,8,1개월0일,1320,"250,000","250,000",0,20221202
,,,,,보습,,,,0,0,0,
,,,,,중등수학B,,,,0,0,0,
41,고려이스쿨수학원,054-283-5553,"경상북도 포항시 남구 연일읍 유강길17번길 22 , 2층 (연일읍)",4,보통교과,8,1개월0일,840,"150,000","150,000",0,20221202
,,,,,보습,,,,0,0,0,
,,,,,중등역사,,,,0,0,0,
42,고려이스쿨수학원,054-283-5553,"경상북도 포항시 남구 연일읍 유강길17번길 22 , 2층 (연일읍)",4,보통교과,8,1개월0일,1140,"180,000","180,000",0,20221202
,,,,,보습,,,,0,0,0,
,,,,,초등수학,,,,0,0,0,
43,고려이스쿨수학원,054-283-5553,"경상북도 포항시 남구 연일읍 유강길17번길 22 , 2층 (연일읍)",4,보통교과,8,1개월0일,1900,"300,000","300,000",0,20221202
,,,,,보습,,,,0,0,0,
,,,,,"초등종합(국,수,사,과)",,,,0,0,0,
44,공대수학학원,,"경상북도 포항시 북구 양덕로50번길 26 , 3층 4층 (양덕동)",8,보통교과,70,1개월0일,1260,"300,000","300,000",0,20250317
,,,,,보습,,,,0,0,0,
,,,,,수학(고등A),,,,0,0,0,
45,공대수학학원,,"경상북도 포항시 북구 양덕로50번길 26 , 3층 4층 (양덕동)",8,보통교과,30,1개월0일,1848,"420,000","420,000",0,20250317
,,,,,보습,,,,0,0,0,
,,,,,수학(고등B),,,,0,0,0,
46,공대수학학원,,"경상북도 포항시 북구 양덕로50번길 26 , 3층 4층 (양덕동)",8,보통교과,100,1개월0일,1260,"250,000","250,000",0,20250317
,,,,,보습,,,,0,0,0,
,,,,,수학(중등),,,,0,0,0,
47,공대수학학원,,"경상북도 포항시 북구 양덕로50번길 26 , 3층 4층 (양덕동)",8,보통교과,40,1개월0일,1134,"200,000","200,000",0,20250317
,,,,,보습,,,,0,0,0,
,,,,,수학(초등),,,,0,0,0,
48,공명학원,054-248-3339,"경상북도 포항시 남구 대이로 177 , 2층 일부(이동)",5,보통교과,10,1개월0일,1440,"280,000","280,000",0,20231018
,,,,,보습,,,,0,0,0,
,,,,,"고등단과(국어,영어,수학,과학)",,,,0,0,0,
49,공명학원,054-248-3339,"경상북도 포항시 남구 대이로 177 , 2층 일부(이동)",5,보통교과,10,1개월0일,960,"150,000","150,000",0,20231018
,,,,,보습,,,,0,0,0,
,,,,,"중등단과(국어,과학)",,,,0,0,0,
50,공명학원,054-248-3339,"경상북도 포항시 남구 대이로 177 , 2층 일부(이동)",5,보통교과,10,1개월0일,1440,"250,000","250,000",0,20231018
,,,,,보습,,,,0,0,0,
,,,,,"중등단과(영어,수학)",,,,0,0,0,
51,공명학원,054-248-3339,"경상북도 포항시 남구 대이로 177 , 2층 일부(이동)",5,보통교과,10,1개월0일,1440,"200,000","200,000",0,20231018
,,,,,보습,,,,0,0,0,
,,,,,"초등단과(영어,수학)",,,,0,0,0,
52,공부가잘되는셀파우등생학원,054-256-6255,경상북도 포항시 북구 두호로 54 115동 209호(두호동),3,보통교과,35,1개월0일,1280,"187,000","187,000",0,20230228
,,,,,보습,,,,0,0,0,
,,,,,"종합A(국,수,사,과)",,,,0,0,0,
53,공부가잘되는셀파우등생학원,054-256-6255,경상북도 포항시 북구 두호로 54 115동 209호(두호동),3,보통교과,35,1개월0일,1280,"177,000","177,000",0,20230228
,,,,,보습,,,,0,0,0,
,,,,,"종합B(국,수,사,과)",,,,0,0,0,
54,공부가잘되는셀파우등생학원,054-256-6255,경상북도 포항시 북구 두호로 54 115동 209호(두호동),3,보통교과,40,1개월0일,1600,"250,000","250,000",0,20230228
,,,,,보습,,,,0,0,0,
,,,,,초등영어A,,,,0,0,0,
55,공부가잘되는셀파우등생학원,054-256-6255,경상북도 포항시 북구 두호로 54 115동 209호(두호동),3,보통교과,40,1개월0일,1260,"200,000","200,000",0,20230228
,,,,,보습,,,,0,0,0,
,,,,,초등영어B,,,,0,0,0,
56,공부의기술수학학원,054-242-1566,"경상북도 포항시 남구 오천읍 원동로 18-1 , 2층  (오천읍)",9,보통교과,10,1개월0일,1008,"230,000","230,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,과학(고등)1,,,,0,0,0,
57,공부의기술수학학원,054-242-1566,"경상북도 포항시 남구 오천읍 원동로 18-1 , 2층  (오천읍)",9,보통교과,5,1개월0일,1008,"180,000","180,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,과학(중등)1,,,,0,0,0,
58,공부의기술수학학원,054-242-1566,"경상북도 포항시 남구 오천읍 원동로 18-1 , 2층  (오천읍)",9,보통교과,10,1개월0일,1512,"280,000","280,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,수학(고등1),,,,0,0,0,
59,공부의기술수학학원,054-242-1566,"경상북도 포항시 남구 오천읍 원동로 18-1 , 2층  (오천읍)",9,보통교과,10,1개월0일,1512,"340,000","340,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,수학(고등2),,,,0,0,0,
60,공부의기술수학학원,054-242-1566,"경상북도 포항시 남구 오천읍 원동로 18-1 , 2층  (오천읍)",9,보통교과,5,1개월0일,1512,"300,000","300,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,수학(고등3),,,,0,0,0,
61,공부의기술수학학원,054-242-1566,"경상북도 포항시 남구 오천읍 원동로 18-1 , 2층  (오천읍)",9,보통교과,5,1개월0일,1512,"230,000","230,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,수학(중등1),,,,0,0,0,
62,공부의기술수학학원,054-242-1566,"경상북도 포항시 남구 오천읍 원동로 18-1 , 2층  (오천읍)",9,보통교과,5,1개월0일,1512,"250,000","250,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,수학(중등2),,,,0,0,0,
63,공부의기술수학학원,054-242-1566,"경상북도 포항시 남구 오천읍 원동로 18-1 , 2층  (오천읍)",9,보통교과,5,1개월0일,1134,"180,000","180,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,수학(초등),,,,0,0,0,
64,공부의기술수학학원,054-242-1566,"경상북도 포항시 남구 오천읍 원동로 18-1 , 2층  (오천읍)",9,보통교과,10,1개월0일,1512,"250,000","250,000",0,20220311
,,,,,보습,,,,0,0,0,
,,,,,영어고등1,,,,0,0,0,
65,공부의기술수학학원,054-242-1566,"경상북도 포항시 남구 오천읍 원동로 18-1 , 2층  (오천읍)",9,보통교과,5,1개월0일,1512,"300,000","300,000",0,20220311
,,,,,보습,,,,0,0,0,
,,,,,영어고등2,,,,0,0,0,
66,공부의기술수학학원,054-242-1566,"경상북도 포항시 남구 오천읍 원동로 18-1 , 2층  (오천읍)",9,보통교과,5,1개월0일,1512,"200,000","200,000",0,20220311
,,,,,보습,,,,0,0,0,
,,,,,영어중등1,,,,0,0,0,
67,공부의기술수학학원,054-242-1566,"경상북도 포항시 남구 오천읍 원동로 18-1 , 2층  (오천읍)",9,보통교과,10,1개월0일,1512,"250,000","250,000",0,20220311
,,,,,보습,,,,0,0,0,
,,,,,영어중등2,,,,0,0,0,
68,공부의기술수학학원,054-242-1566,"경상북도 포항시 남구 오천읍 원동로 18-1 , 2층  (오천읍)",9,보통교과,5,1개월0일,1512,"200,000","200,000",0,20220311
,,,,,보습,,,,0,0,0,
,,,,,영어초등,,,,0,0,0,
69,공부의기술학원,,"경상북도 포항시 남구 오천읍 원동로 16 , 2층 (오천읍)",9,보통교과,10,1개월0일,1008,"230,000","230,000",0,20220311
,,,,,보습,,,,0,0,0,
,,,,,과학고등1,,,,0,0,0,
70,공부의기술학원,,"경상북도 포항시 남구 오천읍 원동로 16 , 2층 (오천읍)",9,보통교과,10,1개월0일,1008,"180,000","180,000",0,20220311
,,,,,보습,,,,0,0,0,
,,,,,과학중등1,,,,0,0,0,
71,공부의기술학원,,"경상북도 포항시 남구 오천읍 원동로 16 , 2층 (오천읍)",9,보통교과,15,1개월0일,1512,"280,000","280,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,수학고등1,,,,0,0,0,
72,공부의기술학원,,"경상북도 포항시 남구 오천읍 원동로 16 , 2층 (오천읍)",9,보통교과,15,1개월0일,1512,"340,000","340,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,수학고등2,,,,0,0,0,
73,공부의기술학원,,"경상북도 포항시 남구 오천읍 원동로 16 , 2층 (오천읍)",9,보통교과,15,1개월0일,1512,"300,000","300,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,수학고등3,,,,0,0,0,
74,공부의기술학원,,"경상북도 포항시 남구 오천읍 원동로 16 , 2층 (오천읍)",9,보통교과,10,1개월0일,1512,"230,000","230,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,수학중등1,,,,0,0,0,
75,공부의기술학원,,"경상북도 포항시 남구 오천읍 원동로 16 , 2층 (오천읍)",9,보통교과,15,1개월0일,1512,"250,000","250,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,수학중등2,,,,0,0,0,
76,공부의기술학원,,"경상북도 포항시 남구 오천읍 원동로 16 , 2층 (오천읍)",9,보통교과,5,1개월0일,1134,"180,000","180,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,수학초등,,,,0,0,0,
77,공부의기술학원,,"경상북도 포항시 남구 오천읍 원동로 16 , 2층 (오천읍)",9,보통교과,15,1개월0일,1512,"250,000","250,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,영어고등1,,,,0,0,0,
78,공부의기술학원,,"경상북도 포항시 남구 오천읍 원동로 16 , 2층 (오천읍)",9,보통교과,15,1개월0일,1512,"300,000","300,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,영어고등2,,,,0,0,0,
79,공부의기술학원,,"경상북도 포항시 남구 오천읍 원동로 16 , 2층 (오천읍)",9,보통교과,10,1개월0일,1512,"200,000","200,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,영어중등1,,,,0,0,0,
80,공부의기술학원,,"경상북도 포항시 남구 오천읍 원동로 16 , 2층 (오천읍)",9,보통교과,15,1개월0일,1512,"250,000","250,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,영어중등2,,,,0,0,0,
81,공부의기술학원,,"경상북도 포항시 남구 오천읍 원동로 16 , 2층 (오천읍)",9,보통교과,10,1개월0일,1512,"200,000","200,000",0,20220307
,,,,,보습,,,,0,0,0,
,,,,,영어초등,,,,0,0,0,
82,공부의힘양덕수학학원,,"경상북도 포항시 북구 장량중앙로 55 , 402호 403호 (양덕동)",4,보통교과,10,1개월0일,1575,"350,000","350,000",0,20220211
,,,,,보습,,,,0,0,0,
,,,,,고등수학A,,,,0,0,0,
83,공부의힘양덕수학학원,,"경상북도 포항시 북구 장량중앙로 55 , 402호 403호 (양덕동)",4,보통교과,10,1개월0일,1848,"400,000","400,000",0,20220211
,,,,,보습,,,,0,0,0,
,,,,,고등수학B,,,,0,0,0,
84,공부의힘양덕수학학원,,"경상북도 포항시 북구 장량중앙로 55 , 402호 403호 (양덕동)",4,보통교과,10,1개월0일,1575,"350,000","350,000",0,20220211
,,,,,보습,,,,0,0,0,
,,,,,고등영어A,,,,0,0,0,
85,공부의힘양덕수학학원,,"경상북도 포항시 북구 장량중앙로 55 , 402호 403호 (양덕동)",4,보통교과,12,1개월0일,1848,"400,000","400,000",0,20220211
,,,,,보습,,,,0,0,0,
,,,,,고등영어B,,,,0,0,0,
86,공부의힘양덕수학학원,,"경상북도 포항시 북구 장량중앙로 55 , 402호 403호 (양덕동)",4,보통교과,10,1개월0일,1323,"250,000","250,000",0,20220211
,,,,,보습,,,,0,0,0,
,,,,,중등수학A,,,,0,0,0,
87,공부의힘양덕수학학원,,"경상북도 포항시 북구 장량중앙로 55 , 402호 403호 (양덕동)",4,보통교과,10,1개월0일,1680,"300,000","300,000",0,20220211
,,,,,보습,,,,0,0,0,
,,,,,중등수학B,,,,0,0,0,
88,공부의힘양덕수학학원,,"경상북도 포항시 북구 장량중앙로 55 , 402호 403호 (양덕동)",4,보통교과,10,1개월0일,1323,"250,000","250,000",0,20220211
,,,,,보습,,,,0,0,0,
,,,,,중등영어A,,,,0,0,0,
89,공부의힘양덕수학학원,,"경상북도 포항시 북구 장량중앙로 55 , 402호 403호 (양덕동)",4,보통교과,10,1개월0일,1680,"300,000","300,000",0,20220211
,,,,,보습,,,,0,0,0,
,,,,,중등영어B,,,,0,0,0,
90,공부의힘양덕수학학원,,"경상북도 포항시 북구 장량중앙로 55 , 402호 403호 (양덕동)",4,보통교과,10,1개월0일,1260,"200,000","200,000",0,20220211
,,,,,보습,,,,0,0,0,
,,,,,초등수학,,,,0,0,0,
91,공부의힘양덕수학학원,,"경상북도 포항시 북구 장량중앙로 55 , 402호 403호 (양덕동)",4,보통교과,10,1개월0일,1260,"200,000","200,000",0,20220211
,,,,,보습,,,,0,0,0,
,,,,,초등영어,,,,0,0,0,
92,과수원과학수학학원,,"경상북도 포항시 남구 효성로 63 , 5층 (효자동)",6,보통교과,4,1개월0일,1638,"375,000","375,000",0,20250414
,,,,,보습,,,,0,0,0,
,,,,,고등수학A,,,,0,0,0,
93,과수원과학수학학원,,"경상북도 포항시 남구 효성로 63 , 5층 (효자동)",6,보통교과,4,1개월0일,2268,"525,000","525,000",0,20250414
,,,,,보습,,,,0,0,0,
,,,,,고등수학B,,,,0,0,0,
94,과수원과학수학학원,,"경상북도 포항시 남구 효성로 63 , 5층 (효자동)",6,보통교과,4,1개월0일,798,"150,000","150,000",0,20250414
,,,,,보습,,,,0,0,0,
,,,,,중등과학,,,,0,0,0,
95,과수원과학수학학원,,"경상북도 포항시 남구 효성로 63 , 5층 (효자동)",6,보통교과,4,1개월0일,1554,"275,000","275,000",0,20250414
,,,,,보습,,,,0,0,0,
,,,,,중등수학A,,,,0,0,0,
96,과수원과학수학학원,,"경상북도 포항시 남구 효성로 63 , 5층 (효자동)",6,보통교과,4,1개월0일,2079,"375,000","375,000",0,20250414
,,,,,보습,,,,0,0,0,
,,,,,중등수학B,,,,0,0,0,
97,과수원과학수학학원,,"경상북도 포항시 남구 효성로 63 , 5층 (효자동)",6,보통교과,4,1개월0일,840,"130,000","130,000",0,20250414
,,,,,보습,,,,0,0,0,
,,,,,초등과학,,,,0,0,0,
98,과수원과학수학학원,,"경상북도 포항시 남구 효성로 63 , 5층 (효자동)",6,보통교과,4,1개월0일,714,"110,000","110,000",0,20250414
,,,,,보습,,,,0,0,0,
,,,,,초등수학A,,,,0,0,0,
99,과수원과학수학학원,,"경상북도 포항시 남구 효성로 63 , 5층 (효자동)",6,보통교과,4,1개월0일,924,"145,000","145,000",0,20250414
,,,,,보습,,,,0,0,0,
,,,,,초등수학B,,,,0,0,0,
100,과수원과학수학학원,,"경상북도 포항시 남구 효성로 63 , 5층 (효자동)",6,보통교과,4,1개월0일,1512,"225,000","225,000",0,20250414
,,,,,보습,,,,0,0,0,
,,,,,초등수학C,,,,0,0,0,
101,과수원과학수학학원,,"경상북도 포항시 남구 효성로 63 , 5층 (효자동)",6,보통교과,4,1개월0일,2142,"325,000","325,000",0,20250414
,,,,,보습,,,,0,0,0,
,,,,,초등수학D,,,,0,0,0,
102,과수원과학수학학원,,"경상북도 포항시 남구 효성로 63 , 5층 (효자동)",6,보통교과,4,1개월0일,2856,"425,000","425,000",0,20250414
,,,,,보습,,,,0,0,0,
,,,,,초등수학E,,,,0,0,0,
103,관리의신학원,,"경상북도 포항시 남구 연일읍 연일로159번길 25-1 , C동 201호",2,보통교과,15,1개월0일,1638,"350,000","350,000",0,20240528
,,,,,보습,,,,0,0,0,
,,,,,고등 수학,,,,0,0,0,
104,관리의신학원,,"경상북도 포항시 남구 연일읍 연일로159번길 25-1 , C동 201호",2,보통교과,15,1개월0일,1638,"350,000","350,000",0,20240528
,,,,,보습,,,,0,0,0,
,,,,,고등 영어,,,,0,0,0,
105,관리의신학원,,"경상북도 포항시 남구 연일읍 연일로159번길 25-1 , C동 201호",2,보통교과,15,1개월0일,1572,"250,000","250,000",0,20240528
,,,,,보습,,,,0,0,0,
,,,,,중등 수학,,,,0,0,0,
106,관리의신학원,,"경상북도 포항시 남구 연일읍 연일로159번길 25-1 , C동 201호",2,보통교과,15,1개월0일,1572,"250,000","250,000",0,20240528
,,,,,보습,,,,0,0,0,
,,,,,중등 영어,,,,0,0,0,
107,관리의신학원,,"경상북도 포항시 남구 연일읍 연일로159번길 25-1 , C동 201호",2,보통교과,15,1개월0일,1260,"150,000","150,000",0,20240528
,,,,,보습,,,,0,0,0,
,,,,,초등 수학,,,,0,0,0,
108,관리의신학원,,"경상북도 포항시 남구 연일읍 연일로159번길 25-1 , C동 201호",2,보통교과,15,1개월0일,1260,"150,000","150,000",0,20240528
,,,,,보습,,,,0,0,0,
,,,,,초등 영어,,,,0,0,0,
109,교연학원,054-274-6622,"경상북도 포항시 남구 상공로 227-1 , 2층 3층 (해도동)",6,보통교과,30,1개월0일,1155,"100,000","100,000",0,20250228
,,,,,보습,,,,0,0,0,
,,,,,"국,과,사(초등)",,,,0,0,0,
110,교연학원,054-274-6622,"경상북도 포항시 남구 상공로 227-1 , 2층 3층 (해도동)",6,보통교과,20,1개월0일,420,"100,000","100,000",0,20250228
,,,,,보습,,,,0,0,0,
,,,,,"영,수 100분 추가(고등)",,,,0,0,0,
111,교연학원,054-274-6622,"경상북도 포항시 남구 상공로 227-1 , 2층 3층 (해도동)",6,보통교과,100,1개월0일,1155,"210,000","210,000",0,20250228
,,,,,보습,,,,0,0,0,
,,,,,"영,수(중등)",,,,0,0,0,
